title,company,location,duration,post_date,deadline,field,url,page_number,description,match_probability_AI_engineering,match_probability_full_stack_development,match_probability_software_engineer,match_probability_software_developer,average_match_probability
"Developer Intern – Web, Automation & AI-Powered MVP Development",The Factory Music Group,"Athens, Greece",6 months,"25 Jan, 2025","28 Feb, 2025","Communication and Information Sciences, Engineering and/or Technology",https://erasmusintern.org/traineeship/developer-intern-%E2%80%93-web-automation-ai-powered-mvp-development,17,"Maintain and improve our current portfolio of websites, ensuring high performance and user experience. Develop and implement new features for WordPress sites using PHP. Manage hosting environments on platforms like Hostinger and Azure. Design and build AI-powered MVPs to automate and optimize marketing and operational processes. Identify and implement opportunities for automation across the company’s digital infrastructure. Troubleshoot technical issues and ensure the scalability and reliability of all deployed systems. Research and integrate the latest technologies for automation, AI, and web development. Qualifications: Pursuing or recently completed a degree in Computer Science, Software Engineering, or a related field. Strong understanding of WordPress, PHP, and web hosting platforms like Hostinger and Azure. Experience with programming languages like Python, especially for automation and AI solutions. Familiarity with APIs and integrations to streamline workflows and data processing. A strong interest in automation and a passion for improving efficiency. Problem-solving skills and the ability to adapt to a fast-paced, creative work environment. What We Offer: Hands-on experience with automation tools and technologies. Opportunities to design AI-driven solutions for real-world applications. Mentorship from experienced developers and exposure to cutting-edge industry trends. A chance to work on meaningful projects at the intersection of technology and the music industry. A dynamic and collaborative work environment. Please note we require you to be in contact with your educational establishments' Erasmus office and have the ability to meet the VISA requirements for Greece",0.46035963,0.20275943,0.41156763,0.42575464,0.37511036
Backend Engineer Intern,Mindioo,"Prague, Czech Republic",6 months,"28 Feb, 2024","31 Mar, 2025",Engineering and/or Technology,https://erasmusintern.org/traineeship/backend-engineer-intern,44,"Developing and implementing backend services using Nest.js, Node.js, Prisma, and PostgreSQL. Ensuring API reliability and performance across the platform. Writing and testing clear, efficient, and reliable TypeScript code. Collaborating with the front-end team to integrate UI components. Optimizing database queries and backend logic for scalability. Working with Supabase for authentication and real-time data handling. What We’re Looking For: Proven experience as a Backend Developer or Fullstack Developer. Strong experience with SQL databases, particularly PostgreSQL, and backend development using TypeScript and Node.js. Familiarity with Next.js, Prisma, Nest.js, PostgreSQL, and Supabase. Understanding of software architecture, API design, and backend development best practices. Knowledge of cloud-based services and deployment strategies. Good problem-solving skills and attention to detail. Education in a relevant field. Organized, flexible, autonomous, and reliable. Good level of English. Why Join Mindioo? Be part of a mission-driven company focused on wellness and personal growth. Work in a remote-first environment with a flexible schedule. Gain hands-on experience working with experienced entrepreneurs and developers. Opportunity to contribute to a high-impact startup and develop your technical skills. Access to mentorship and networking opportunities. Internship Details: Fully remote with flexible working hours. Must be available to work in the CET time zone. Part-time commitment, minimum 15 hours/week. Minimum 6-month internship with a flexible start date.",0.30691898,0.3439582,0.40873128,0.42631173,0.37148005
Junior Developer,Murkhasya,"Barcelona, Spain",4 months,"21 Apr, 2022","30 Apr, 2025",Engineering and/or Technology,https://erasmusintern.org/traineeship/junior-developer-4,70,"Knowledge of HTML5, CSS3 and Javascript is must. Familiar with basics of ReactJs Desire to learn and work hard :D Should be able to communicate in English Or Spanish. Either of them will work. Through this internship you will be able to improve your skills in FrontEnd Development Learn how to manage software projects Work on actual industry projects",0.34119487,0.27862477,0.42602327,0.42383075,0.3674184
Software Engineering Internship at HealthTech Startup,Airflora,"Leuven, Belgium",3 months,"19 Feb, 2025","15 Mar, 2025","Engineering and/or Technology, Mathematics and/or Informatics",https://erasmusintern.org/traineeship/software-engineering-internship-healthtech-startup,7,"Leuven, Belgium (Onsite) Team: Engineering Commitment: Full-time Internship (3 to 6 months) About Airflora At Airflora, we’re building product that creates a healthier future for children. We help daycares monitor indoor environment to prevent respiratory issues in children. We are an early-stage startup operating at the intersection of AI, IoT, and healthcare. As part of Start it @KBC and Campus Founders (Germany), we’re growing beyond Belgium. We take on overlooked problems that require both diligence and creative thinking to build something new. If you’re excited about tackling real-world challenges, working hands-on with innovative tech, and contributing to meaningful projects, this internship is worth to give a shot. What You’ll Do Develop & Deploy: Build software for internal and external applications, from dashboards to AI-powered analytics. Full-Stack Engineering: Work with Python, TypeScript - React, FastAPI, Next.js, and React Native. AI & Data: Data processing and building on top of foundational AI models. Optimize & Scale: Improve performance and reliability of our applications. Collaborate & Learn: Work closely with a small, hands-on team and take ownership of your projects. What We Look For Experience in Full-Stack Development (Python, JavaScript/TypeScript) Problem-Solving Mindset - We love people who take initiative Bonus: Interest in IoT, AI/ML, or wearable tech Huge Plus: Experience participating in hackathons, student startup programs, or similar hands-on initiatives Erasmus Scholarship: Be eligible for an Erasmus training scholarship program How to Apply We believe in practical applications, so we want to see your skills in action! To apply, please: Submit your up and running project that uses a similar tech stack, using any AI model. If you don’t have any project built with AI yet, google AI projects and build any idea that you like. We’ll be evaluating clean code, best practices, and usability —so make sure to include a README for setup! Interview Process (entire process takes 1-2 weeks) Step 0: Submit Your Project repo & running link Step 1: Critical thinking test Step 2: System Design Interview - Discuss architecture & problem-solving Step 3: Final Chat - Meet the team & see if it’s a good fit Perks & Benefits Work on real-world AI & IoT product that impact children’s health Flexible length (3-6m) depending on your Uni Mentorship & learning in a high-growth startup Potential full-time offer post-internship Ready to Join? If this sounds like your kind of challenge, we’d love to hear from you. Apply now and let’s build something meaningful together! We're human, please don't send us AI-generated cover letters.",0.46838194,0.2955793,0.35802758,0.34612238,0.3670278
AI Engineer Intern,Mindioo,"Prague, Czech Republic",6 months,"11 Feb, 2025","28 Feb, 2025",Engineering and/or Technology,https://erasmusintern.org/traineeship/ai-engineer-intern,11,"AI Engineer Intern Location: Remote Employment Type: Unpaid Internship (Minimum 6 months) Join Mindioo – The Global Hub for Life & Spiritual Coaching Are you passionate about personal growth, wellness, and building innovative tech solutions? Mindioo is an early-stage startup developing an all-in-one platform with business tools such as a global marketplace for services and products, booking management, and community features for coaches and clients in the personal development, wellness, and mindfulness space. Our mission is to save clients time while making it easier to support, follow, and learn from their favorite coaches and advisors. Join us in shaping a better world! About the Role We are seeking an AI Engineer Intern to join our remote team for a minimum 6-month unpaid internship. As part of our international impact startup, you’ll work closely with our CTO and other developers to develop and deploy machine learning models that enhance our platform’s recommendation systems and AI-driven capabilities. You will gain exposure to all areas of AI development and have the opportunity to contribute to cutting-edge features for personalized user experiences. Responsibilities: Developing and deploying machine learning models, particularly recommendation systems. Optimizing and maintaining AI models in production for scalable performance. Building and improving backend services for serving AI models. Working with real-time recommendation engines and graph-based models. Experimenting with deep learning techniques for personalized user interactions. Collaborating with the development team to integrate AI-driven features into our platform. What We’re Looking For: Must-Have: Experience as a Machine Learning Engineer or Data Scientist, specializing in recommendation systems and ML model deployment. Strong expertise in backend development for serving AI models in production. Proficiency in Python, TensorFlow/PyTorch, and SQL databases. Familiarity with PostgreSQL, Supabase, and cloud-based AI deployment. Nice-to-Have: Experience with real-time recommendations, graph-based models, deep learning, and e-commerce/marketplace personalization. Strong problem-solving skills and the ability to optimize AI models for real-world applications. Organized, flexible, autonomous, and reliable. Good level of English. Why Join Mindioo? Be part of a mission-driven company focused on wellness and personal growth. Work in a remote-first environment with a flexible schedule. Gain hands-on experience working with experienced entrepreneurs and developers. Opportunity to contribute to a high-impact startup and develop your AI and machine learning skills. Access to mentorship and networking opportunities. Internship Details: Fully remote with flexible working hours. Must be available to work in the CET time zone. Part-time commitment, minimum 15 hours/week. Minimum 6-month internship with a flexible start date.",0.60271275,0.18323928,0.35932165,0.32245964,0.36693335
Junior Software Developer,Fernando Lluch,"Valencia, Spain",6 months,"12 Oct, 2024","1 Mar, 2025","Communication and Information Sciences, Engineering and/or Technology, Mathematics and/or Informatics",https://erasmusintern.org/traineeship/junior-software-developer-0,29,"Application Development (Retool, JavaScript, SQL, Next.js, Supabase) We are looking for an intern to help develop the application with the Retool platform, using JavaScript, and SQL queries. Apart, the intern will be involved in the frontend (Next.js) and backend (Supabase, Python/Next.js) development of independent application, gaining hands-on experience in full-stack development. Responsibilities: - Build and improve application using Retool - Develop frontend with Next.js - Manage backend with Supabase (databases, API integration) - Write and optimize SQL queries - Test, debug, and document features Requirements: - Basic knowledge of JavaScript, SQL, and web development - Interest in full-stack development - Willingness to learn and collaborate Details: - Hybrid (1-2 times/week at office, rest from home). - For non UE citizens, please consider that you need a visa. Basic knowledge of Spanish would be a plus. Apply with your resume & portfolio (if available).",0.27945784,0.33643848,0.37194473,0.42653966,0.3535952
Frontend Web Development in React and JavaScript,Maon GmbH,"Berlin, Germany",6 months,"17 Jan, 2025","30 Apr, 2025","Communication and Information Sciences, Engineering and/or Technology, Mathematics and/or Informatics",https://erasmusintern.org/traineeship/frontend-web-development-react-and-javascript-0,19,"Maon is a spin-off of the RWTH Aachen and the TU Berlin. The specialised software developer provides a web platform that enables organisations to make comprehensive, explainable and accurate energy market forecasts. It has been used to derive millions of simulations by consultants, consumers as well as grid, storage and power plant operators in Europe. Programme: Introduction to Maon-Team, GitLab CI/CD and quality workflow of technical modelling software development Software development of browser-based user front-end and web services in React, Node.js and JavaScript Create graphs, plots, maps, workflows as well as data im- and exports Software development of back-end and web services in Node.js, JavaScript, MongoDB and MinIO Knowledge , skills and competences that can be acquired in this traineeship: Continuous integration (CI) and continuous deployment (CD) in GitLab Web application development in React, Node.js and JavaScript Development of advanced data analytics solutions Installation, maintenance and management of distributed IT systems Writing automatic tests for quality assurance Basic knowledge of the European electricity supply system Basic knowledge of challenges in the European energy transition Monitoring plan: Personal and hands-on introduction in software stack (MEAN stack: MongoDB, Express.js, Angular, and Node.js) Discussion of user stories to deepen software need understanding Discussion and analysis of software feature, bug and test issues Source code reviews of merge requests by the trainee Source code feedback and change requests from the personal mentor Joint simulation and analysis of exemplary user workflows to test application Evaluation plan: Manual testing through user story simulation Automatic testing through own written test applications Quantitative comparison of contributions with senior software developers Qualitative personal and professional feedback loops with other developers and personal mentor",0.2968037,0.2830711,0.42020088,0.4090408,0.35227913
"Paid internship - programming/web design/Computer science, Vacancies in Lisbon and Madrid",America Movil,"Lisbon, Portugal",2 months,"22 Oct, 2024","7 Mar, 2025","Art and Design, Engineering and/or Technology, Mathematics and/or Informatics",https://erasmusintern.org/traineeship/paid-internship-programmingweb-designcomputer-science-vacancies-lisbon-and-madrid,28,"Location: Lisbon, Portugal and Madrid, Spain Duration: 2-3 months Start date: 2025 Modality: Part-time, onsite or hybrid Compensation: Paid Vacancies: 6 positions available Fields: Web design Computer Science Programming What We Offer: Hands-on experience in a world-class telecommunications company The chance to contribute to cutting-edge projects in the engineering and IT fields Exposure to international operations and advanced technology platforms A vibrant and dynamic work environment in Lisbon or Madrid An opportunity to be part of the global expansion into Western Europe Requirements: English B1 level Motivation to work in a fast-paced, innovative industry Are you ready to kickstart your career with a global leader in telecommunications? Apply now and become part of our growing team! If you are interested in our offer, send us an email with your cv to: [email protected] Don't forget to mention the position you are interested in and feel free to introduce a bit about you.",0.3171818,0.25984162,0.4069528,0.39273733,0.34417838
EU Project Manager intern,Growth Hub,"Tripoli Peloponnese, Greece",4 months,"5 May, 2022","30 Mar, 2025","Communication and Information Sciences, Humanities, Social Sciences",https://erasmusintern.org/traineeship/eu-project-manager-intern-5,70,"● Produce database reports. Some of them will be specialized in technology. ● Determine variable solutions to make recommendations. ● Communicate and build partnerships with other organizations. ● Effectively communicate with an international multi-functional team. Skills needed to be successful in this role: ● Willingness to learn and work as part of the team with passion about the relevant field. ● Major or field of study related to internship (Computer Science, International Business, Economics, Engineering, or related field). ● Acquire a deep understanding of the technology field. ● Ability to work both individually and in a team. ● Excellent command of English (both written and spoken). ● Positive attitude, desire to learn, and works well in a collective environment. ● Good multitasking skills. ● Result driven and creative thinking. ● Outstanding communication skills. As an asset: ● Prior work experience in relevant fields. ● Proficient in use of MS Office. What we offer: ● Working in a creative, dynamic, and young environment ● Being a full member of the Organization ● Attending at status meetings with brainstorming ideas for content development ● Benefitting from our think tank ● Knowledge sharing with colleagues ● Own work schedule ● Participation at any event of the Growth Hub ● Continuous internal training and workshops that will help you to develop further your skills ● Access in significant network Even if you do not have all the above skills, but you have the PASSION and WILLINGNESS to learn Note that we review applications on a regular basis. Only complete applications will be reviewed. It will be our pleasure to meet you!",0.32764727,0.2148643,0.4220559,0.39978772,0.3410888
Buisness Development Representative (Polyglot),Besty AI,"Brussels, Belgium",6 months,"28 Jan, 2025","28 Feb, 2025","Business Studies and/or Management Science, Communication and Information Sciences, Languages and Philological Sciences",https://erasmusintern.org/traineeship/buisness-development-representative-polyglot,16,"Besty AI is looking for a motivated Sales (BDR) & Marketing Assistant (ENG/FR/ESP) to support our daily business development activities in an international, fast-paced startup environment. The intern will assist in all aspects of the sales funnel, including CRM management, tracking KPIs, cold calling, cold emailing, and supporting outreach campaigns. You'll work remotely with access to co-working spaces and have the opportunity to travel to events and tradeshows across Europe. This is a unique chance to gain hands-on experience in sales and marketing while contributing to a growing tech startup. *We prioritise polyglot individuals speaking english, french and spanish. Other languages are a + (german/dutch/portuguese, etc)",0.38227594,0.24194922,0.3560729,0.36649185,0.33669746
Graphic designer www.dpi-ad.eu,dpi-advertisings,"88271 Wilhelmsdorf next Bodensee, Germany",6 months,"3 Jul, 2020","28 Feb, 2025","Art and Design, Communication and Information Sciences",https://erasmusintern.org/traineeship/graphic-designer-wwwdpi-adeu-0,77,"gain valuable work experience in a small team! have your own projects after a small time of practise! we give you the opportunity with and without experience to work with us. You should now the adobe software, but you don´t have to be a crack. we show you tips and tricks, and we let you work at your own projects",0.31125546,0.19547062,0.40321076,0.4265839,0.33413017
"In-house translator - project manager (Barcelona, Spain)",OMERO Language Solutions,"Barcelona, Spain",2 months,"29 Jan, 2025","1 May, 2025",Languages and Philological Sciences,https://erasmusintern.org/traineeship/house-translator-project-manager-barcelona-spain-3,16,"2 months working part-time. Many of our trainees go on to become freelance translators after completing their internship. Therefore, if you are considering a career as a professional translator, this internship is ideal for you. As part of a team, you will be involved in tasks such as: Translation, proofreading, and post-editing Quality control and formatting Data evaluation for MTQE algorithm training Project management Using the latest translation and graphic design software, including our own cloud-based TMS: LivoLINK",0.28362522,0.28545088,0.3904459,0.37264076,0.33304068
Graphic Designer,Team Knocknock,"Warsaw, Poland",12 months,"22 Sep, 2024","31 Mar, 2025",Art and Design,https://erasmusintern.org/traineeship/graphic-designer-511,30,"Share cool/ creative concepts/ layout ideas in cooperation with our team Working in any of Adobe Photoshop, Illustrator, After Effects, Premiere Pro software Contribute to website design projects Create branding Monitor and post on blogs, forums, and social networks Optimize website and social media visiuals Create and design print and digital materials Adhere to brand guidelines and complete projects according to the deadline Retouch and manipulate images Use graphic design software and work with a wide variety of media",0.25550818,0.25788426,0.37673795,0.4176904,0.3269552
Organic Growth Intern,Intern Network Turkey,"İstanbul, Kadıköy, Turkey",4 months,"6 Sep, 2024","31 Mar, 2025","Art and Design, Business Studies and/or Management Science, Communication and Information Sciences",https://erasmusintern.org/traineeship/organic-growth-intern,32,"– Identifying and optimizing on-site (content and technical) SEO errors and improvements, – Making content entries for our projects, – Implementing link-building tactics for off-site SEO work, providing necessary coordination, – To do keyword research in accordance with entity-based search strategies, – Entering the work done into the project management tool. Requirements Currently pursuing a relevant department in undergraduate or master’s degree, never worked in an agency or company before. – Eagerness to learn, – Strong communication, editing, and writing skills, – Organizational skills and eagerness to work on multiple projects at once, – Deadline-driven mentality, – Ability to work independently, as well as in a collaborative team environment, – Intellectual curiosity and a willingness to learn about new industries, – Exhibits personal initiative and independence, – Fluency in English. Extra Points (but not required) If You Have The Following; – Experience with WordPress, Shopify, Ticimax, Tsoft, Ideasoft, and other CMS platforms, – Experience with SEO/website analytics (Google Analytics, Screaming Frog, Ahrefs, Semrush, keyword research tools, etc), – Use of scraping tools or outreach tools, – Knowledge of working with WordPress plugins, – Basic knowledge of HTML and CSS, – Interested in working for an agency. Position Details; Duration: 4- 6 Months Place: Kadıköy, İstanbul (Mostly Remote) Start Date: Feb, 2025 Working Type: Part-Time(2-3 days a week) Salary: Lunch Provided(Good work will be rewarded)",0.31683576,0.23548782,0.3803364,0.37390757,0.3266419
Trainee at Mechanical Engineering department,Afyon Kocatepe University,"Afyonkarahisar, Turkey",4 months,"28 Mar, 2023","15 Mar, 2025",Engineering and/or Technology,https://erasmusintern.org/traineeship/trainee-mechanical-engineering-department,61,Interns studying in Mechanical Engineering or similar departments who want to improve themselves in the field of mechanical engineering or construction machinery and also want to take part in scientific projects can apply. The trainee will do internship in the Machinery Drawing and Construction and Machinery Operator departments. Candidates who have knowledge about machine tools or construction machines are given priority. Candidates who want to take part in scientific research projects are given priority. Interns are expected to work 2-3 days a week on scientific research projects.,0.40416247,0.14779586,0.4119672,0.3328364,0.32419047
