title,company,location,duration,post_date,deadline,field,url,page_number,description,match_probability_architect_engineer
Internship in Non-Profit Projects,Janluca Andrei Maris,"Bacelona, Spain",6 months,"25 Feb, 2025","31 Mar, 2025","Business Studies and/or Management Science, Engineering and/or Technology, Social Sciences",https://erasmusintern.org/traineeship/internship-non-profit-projects-0,2,"Proceedit is a software development company specializing in business process automation. We simplify your work by transforming your business, managing its complexity, and facilitating collaboration with your different stakeholders. As a result, by applying our BPaaS business model, we agile your operations, control your processes, and maximize your margins without requiring any investment. Our Non-Profit Unit is responsible for managing a diverse range of non-profit projects, where we allocate 7% of our resources to support initiatives that create a positive social impact. We are committed to discovering, evaluating, executing, controlling, and diffusing these projects for the betterment of society. Internship Details: As a Non-Profit Projects Intern at Proceedit, you will play an integral role within our Non-Profit Unit, working on various aspects of non-profit project management, including discovery, evaluation, execution, control, and diffusion. Your responsibilities will include: Discovery: Assist in identifying and researching potential non-profit projects that align with our mission. Evaluation: Collaborate on the evaluation of project proposals, considering their feasibility and potential impact. Execution: Contribute to the execution of approved projects, working closely with project teams and partners. Control: Participate in project control activities to ensure they stay on track and within budget. Diffusion: Help in spreading the word about completed projects and their positive outcomes. Qualifications: Pursuing or recently completed a degree in Social Work, Non-Profit Management, or a related field. A strong passion for non-profit work and social impact. Strong communication and teamwork skills. An eagerness to learn and adapt to various aspects of non-profit project management. Compassion and dedication to making a positive change in the community. Detail-oriented and organized. What We Offer: A fulfilling and compassionate work environment. Mentorship from experienced professionals in non-profit project management. Hands-on experience in managing non-profit initiatives from start to finish. The opportunity to contribute to projects that have a real-world social impact. Potential for future career opportunities within the non-profit sector. The opportunity to work on projects that have a real-world impact. Compatible with the participation as part of the Erasmus or a similar internship exchange program Possibility to develop the final course degree project for your academic institution as part of the internship period Compatible with the realization of your Master or PhD thesis Academic Certificate and Professional Working Certificate Recommendation Letter and LinkedIn Professional Recommendation",0.23321328
"Assistant tourist guide, communication and marketing",Born Bike Tours Barcelona,"Barcelona, Spain",4 months,"25 Feb, 2025","1 Mar, 2025","Communication and Information Sciences, Languages and Philological Sciences, Social Sciences",https://erasmusintern.org/traineeship/assistant-tourist-guide-communication-and-marketing,2,"Customer relations: welcome customers to the office and manage bike hires. Tourist guide: organise cultural and historical tours of Barcelona by bike (for private individuals, companies and school groups). Assistance with digital activities: manage the company's internal and external communication (email, social networks, website, etc.). Duration : 4 to 6 months Profile required: Dynamism and motivation, empathy, interest in culture and history. Skills: sense of sharing and ability to take charge of a group, good verbal skills, team spirit and autonomy Languages: Spanish (B1 minimum), French (B2 minimum), English (B2 minimum), Other languages would be an asset To apply: send your CV and covering letter to [email protected] Hasta pronto !",0.2316936
Marketing Intern,Jobteq Solutions,"Bratislava, Slovakia",3 months,"25 Feb, 2025","1 Jun, 2025","Business Studies and/or Management Science, Communication and Information Sciences, Languages and Philological Sciences",https://erasmusintern.org/traineeship/marketing-intern-367,2,"We are seeking a highly motivated Marketing intern to join our dynamic marketing team. The ideal candidate will have excellent communication skills, creativity, and a passion for digital marketing. This role will support marketing campaigns, content creation, and brand promotion initiatives. Also, the date of your internship can be modified to suit your your preference. Responsibilities: Assist in the development and execution of marketing campaigns Create engaging content for social media platforms and websites Conduct market research and analyze trends to support marketing strategies Support the planning and coordination of marketing events Collaborate with the design team to create marketing materials Monitor and report on the performance of marketing campaigns Assist with administrative tasks related to marketing activities Requirements: AP, Bachelor's or Master’s degree in Marketing, Business Administration, Communications, or a related field Strong written and verbal communication skills Creative thinking and problem-solving abilities Proficiency in Microsoft Office and familiarity with social media platforms Basic knowledge of digital marketing tools (e.g., Google Analytics, SEO, or email marketing) is a plus Ability to work independently and as part of a team What do we offer? Working within a friendly, fast-growing, international team with a low hierarchy Personal development and skills improvement Help with the application and paperwork for the Erasmus+ grant Cool office with good coffee, a pool, PlayStation, Internship certificate This is a full-time position. If you are a creative and detail-oriented individual with a passion for marketing, we encourage you to apply at [email protected] .",0.23036459
Marketing Intern,Jobteq Solutions,"Bratislava, Slovakia",4 months,"25 Feb, 2025","1 Apr, 2025","Business Studies and/or Management Science, Communication and Information Sciences, Languages and Philological Sciences",https://erasmusintern.org/traineeship/marketing-intern-366,2,"We are seeking a highly motivated Marketing intern to join our dynamic marketing team. The ideal candidate will have excellent communication skills, creativity, and a passion for digital marketing. This role will support marketing campaigns, content creation, and brand promotion initiatives. Also, the date of your internship can be modified to suit your your preference. Responsibilities: Assist in the development and execution of marketing campaigns Create engaging content for social media platforms and websites Conduct market research and analyze trends to support marketing strategies Support the planning and coordination of marketing events Collaborate with the design team to create marketing materials Monitor and report on the performance of marketing campaigns Assist with administrative tasks related to marketing activities Requirements: AP, Bachelor's or Master’s degree in Marketing, Business Administration, Communications, or a related field Strong written and verbal communication skills Creative thinking and problem-solving abilities Proficiency in Microsoft Office and familiarity with social media platforms Basic knowledge of digital marketing tools (e.g., Google Analytics, SEO, or email marketing) is a plus Ability to work independently and as part of a team What do we offer? Working within a friendly, fast-growing, international team with a low hierarchy Personal development and skills improvement Help with the application and paperwork for the Erasmus+ grant Cool office with good coffee, a pool, PlayStation, and a gym Internship certificate This is a full-time position. If you are a creative and detail-oriented individual with a passion for marketing, we encourage you to apply at [email protected] .",0.23036459
Erasmus internship Customer Service,Animafest Experience,"Palafolls, Spain",3 months,"25 Feb, 2025","3 Mar, 2025","Business Studies and/or Management Science, Humanities, Languages and Philological Sciences",https://erasmusintern.org/traineeship/erasmus-internship-customer-service-3,1,"✅ Respond to customer problems via phone, email, and chat ✅ Provide accurate information about our services ✅ Solving complex issues with senior team members when needed ✅ Keep customer records up to date in our database ✅ Learn about our services to assist customers effectively ✅ Help create user guides and instructional materials ✅ Manage social media channels to cooperate with customers ✅ Listen to customer concerns and provide effective solutions ✅ Offer personalized support to ensure a great customer experience Why Join? ✔ Gain practical experience in customer service ✔ Improve your communication and problem-solving skills ✔ Build a strong foundation for your future career ✔ Work in a supportive and collaborative team environment Accommodation finding assistance provided to help with your stay in Spain! Ready to grow your career? Write us today!",0.2211197
English Language Assistant,Escola Parc de l'Aigua,"Lleida, Spain",3 months,"25 Feb, 2025","13 Mar, 2025","Art and Design, Education and/or Teacher Training, Engineering and/or Technology",https://erasmusintern.org/traineeship/english-language-assistant-163,2,"We are a public school from Lleida looking for a passionate person who wants to help students (and maybe teachers, as well!) improve their communicative skills in English. You'll be a part of the team and be involved in all types of school activities and projects.",0.21517557
International Office Intern,Vysoká škola finanční a správní,"Prague, Czech Republic",3 months,"27 Feb, 2025","11 Apr, 2025","Education and/or Teacher Training, Humanities, Languages and Philological Sciences",https://erasmusintern.org/traineeship/international-office-intern-26,1,high proficiency in written and spoken English – minimum B2 (Level of Common European Framework of Reference for Languages) strong command of Microsoft Office Skills Czech or Slovak language is an advantage More on the position and how to apply info is to be found in the attachement,0.21081766
English teachers and educators in training 2,SANT BERNAT CALVÓ SCHOOL,"Vila-seca, Spain",3 months,"26 Feb, 2025","30 May, 2025",Education and/or Teacher Training,https://erasmusintern.org/traineeship/english-teachers-and-educators-training-2,1,"Sant Bernat Calvó Primary School seeks internship  candidates to join our team. They  would work with us to transform public education by implementing innovative Erasmus+ projects in order to prepare our students for success in Secondary School. We are a public pre-K and elementary school (3 to 12 years old children) located in Vila-seca, an industrial and touristic village on the Costa Dorada, with many families converging from very different backgrounds and cultures. It is because of this that we believe that the Erasmus+ projects that we are implementing (languages and cultures, Arts and Music, Social Emotional Learning, STEAM, ecology, chess and diversity) are ideal for our community. Sant Bernat Calvo has been selected to carry out all these innovation projects that have contributed to create a leading position of our school in this field. The school learning language is Catalan, but most of our students' mother language is Spanish and they learn it at our school, too. They study English as a foreign language. Two years ago our school received the Erasmus Accreditation, an award that confirms that we have set a plan to implement high quality mobility activities as a great effort to develop our school goals. We also want to open up our organization to cross-border exchange and cooperation. According to the Erasmus+ programme,  organizations that already have an Erasmus accreditation are awarded an excellence label to recognise their past work and dedication to quality education. At Sant Bernat Calvó we improve our students' cultural competence by designing a school that reflects and represents the community we serve, preparing them for a multicultural and global future. Our mission is to attract, develop, and retain a collaborative and dynamic teachers team in order to establish a stimulating work environment. At Sant Bernat Calvó, interns are an essential part of the classroom.They serve as both a collaborator and an assistant. In the classroom, they are viewed as an additional teacher who is responsible for working closely with students. Interns work as  support teachers in a classroom, improving their skills under the supervision of more experienced educators. They receive professional development in a variety of areas related to teaching, including classroom management and lesson design. They develop not only their intercultural skills, but also learn new teacher skills that will help them in their professional future as educators.",0.17974347
Physiotherapist internship,Elja Physiotherapy,"Hafnarfjörður, Iceland",3 months,"27 Feb, 2025","2 May, 2025",Medical Sciences,https://erasmusintern.org/traineeship/physiotherapist-internship,1,We are offering internship for physiotherapy students in Iceland. We have a 6 year experience in guiding physiotherapist students on their way to becoming qualified physiotherapists. Contact us for further information,0.17594242
Animation/Marketing Internship,EL HACHAZO,"VALENCIA, Spain",3 months,"27 Feb, 2025","15 Jun, 2025","Business Studies and/or Management Science, Education and/or Teacher Training",https://erasmusintern.org/traineeship/animationmarketing-internship-0,1,"1) En tienda (como coach): -Atención al cliente. -Animación de grupo. -Gestión de un centro de hacha. 2) Marketing y Strategies (Teletrabajo y en centro). -Creación de contenido videograma (insta, facebook, tiktok, Youtube) -Planificación de eventos -Redaccion de articulos/blog -Buscar nuevas ideas para mejorar el producto -Búscar nuevos canales de comunicación/venta -Optimización y subvenciones. Buscamos a alguien curioso, muy sociable, creativo. Nivel B1/B2 en castellano. Horario: 20h-40h 80% Tienda 20% teletrabajo. No compensacion Envíe su solicitud por correo electrónico a [email protected] Período de prácticas mínimo 2 meses",0.1510155
